,end,err_imf_avg,imf_avg,start,x_avg,y_avg,z_avg
1721,2006-07-29 22:15:00,1.192565736443355,2.6133846190113292,2006-07-29 20:10:00,-2.8579078275358296,-6.2410622653127765,4.89264455525639
1722,2006-07-29 23:15:00,0.8239925219888661,0.5774999953806401,2006-07-29 23:00:00,-5.232420342175483,-8.054073143933447,4.171205462250825
1723,2006-07-30 15:40:00,0.4739171549761984,1.064494443105327,2006-07-30 13:15:00,-14.850232825825355,-10.635829016899493,5.230251661173025
1724,2006-07-30 19:40:00,0.42978525725212946,2.2444000077247614,2006-07-30 18:55:00,-15.473975827970492,-9.369141422068747,7.802762517658138
1725,2006-07-31 03:20:00,0.15649923849682723,6.819000029563905,2006-07-31 03:05:00,-14.410178935802858,-6.091626118348769,10.915358656411867
1726,2006-07-31 22:15:00,0.5379154123754423,-0.28549999687820676,2006-07-31 22:00:00,0.17410924501648095,3.973865955109088,5.613639930937058
1727,2006-07-31 22:50:00,0.3156109432699532,-1.9263333241144813,2006-07-31 22:25:00,0.8144979856642077,3.9976194213362635,4.784466070213991
1728,2006-08-01 03:25:00,1.076221855818244,-2.2183333496252695,2006-08-01 03:00:00,1.421964108198608,-1.6773138701407417,4.393397164233767
1729,2006-08-01 06:45:00,0.9984314438379414,0.2926666706800461,2006-08-01 06:35:00,-3.6025741641814473,-6.518809187464029,4.804687908753205
1730,2006-08-01 09:25:00,3.32005839264709,2.8665000319480898,2006-08-01 09:10:00,-6.744624077852771,-8.535944121801915,3.6053209857165283
1731,2006-08-01 10:55:00,3.2231128547756436,-2.1377500044181943,2006-08-01 09:40:00,-7.7689334484382355,-9.066227829226182,3.0336878041123843
1732,2006-08-01 12:35:00,3.4854775557914808,-0.2329736844489449,2006-08-01 11:05:00,-9.196325454981041,-9.705012019925814,2.096357673338896
1733,2006-08-01 13:45:00,0.5660102397699778,2.9153846263885503,2006-08-01 12:45:00,-10.359103147676372,-10.130096712265916,1.1989181749031066
